acceptance_threshold,default_threshold,approval_rate,approved_expected_value,avg_p_default_approved,avg_p_accept_approved
0.05,0.2,0.1487,192316.79,0.1475,0.151
0.05,0.25,0.211,241932.0,0.17,0.1459
0.05,0.3,0.2525,263075.77,0.1869,0.1433
0.05,0.4,0.269,268859.29,0.1962,0.1422
0.1,0.2,0.1487,192316.79,0.1475,0.151
0.1,0.25,0.211,241932.0,0.17,0.1459
0.1,0.3,0.2525,263075.77,0.1869,0.1433
0.1,0.4,0.269,268859.29,0.1962,0.1422
0.2,0.2,0.0198,31491.08,0.1246,0.2387
0.2,0.25,0.022,33327.7,0.1338,0.2374
0.2,0.3,0.023,33666.0,0.1396,0.2367
0.2,0.4,0.0231,33670.21,0.1405,0.2366
0.3,0.2,0.0014,1371.84,0.1052,0.3136
0.3,0.25,0.0014,1371.84,0.1052,0.3136
0.3,0.3,0.0014,1371.84,0.1052,0.3136
0.3,0.4,0.0014,1371.84,0.1052,0.3136
0.4,0.2,0.0,0.0,0.0,0.0
0.4,0.25,0.0,0.0,0.0,0.0
0.4,0.3,0.0,0.0,0.0,0.0
0.4,0.4,0.0,0.0,0.0,0.0
